MatrixSize,BlockConfiguration,SequentialTime_ms,ParallelTime_ms
200,4x4,173,314
200,8x8,173,2
200,16x16,173,2
200,32x32,173,2
400,4x4,923,293
400,8x8,923,8
400,16x16,923,7
400,32x32,923,7
800,4x4,7196,366
800,8x8,7196,49
800,16x16,7196,46
800,32x32,7196,50
1200,4x4,26407,406
1200,8x8,26407,93
1200,16x16,26407,116
1200,32x32,26407,113
1600,4x4,62651,539
1600,8x8,62651,175
1600,16x16,62651,166
1600,32x32,62651,166
2000,4x4,122516,711
2000,8x8,122516,269
2000,16x16,122516,250
2000,32x32,122516,254
