size,threads,time_ms,seq_time_ms,speedup,efficiency
200,1,74,72,0.972973,97.2973
200,2,37,74,2,100
200,4,44,70,1.59091,39.7727
200,8,28,72,2.57143,32.1429
400,1,619,597,0.964459,96.4459
400,2,377,600,1.59151,79.5756
400,4,298,599,2.01007,50.2517
400,8,234,604,2.5812,32.265
800,1,5740,5199,0.905749,90.5749
800,2,3508,5114,1.45781,72.8905
800,4,2227,4989,2.24023,56.0058
800,8,1953,4913,2.51562,31.4452
1200,1,21035,17225,0.818873,81.8873
1200,2,11261,16994,1.5091,75.4551
1200,4,8088,21757,2.69003,67.2509
1200,8,7882,17570,2.22913,27.8641
1600,1,47399,40242,0.849005,84.9005
1600,2,28473,41111,1.44386,72.193
1600,4,20053,41031,2.04613,51.1532
1600,8,19723,41597,2.10906,26.3633
2000,1,152640,80134,0.524987,52.4987
2000,2,69653,78384,1.12535,56.2675
2000,4,53059,79309,1.49473,37.3683
2000,8,42825,79515,1.85674,23.2093
